date,Plate.SN,well,DIV,treatment,dose,units,file.name,meanfiringrate,burst.per.min,mean.isis,per.spikes.in.burst,mean.dur,mean.IBIs,nAE,nABE,ns.n,ns.peak.m,ns.durn.m,ns.percent.of.spikes.in.ns,ns.mean.insis,ns.durn.sd,ns.mean.spikes.in.ns,r,mi,wllq,wllq_notes
20140827,MW1007-100,A5,7,Acetaminophen,1,uM,ON_20140827_MW1007-100_07_00_001.h5,0.728473906,2.07375,0.047389653,65.96613333,0.491,36.00933333,16,15,23,13.7826087,0.211467313,7.855100095,34.36363636,0.054659601,35.82608696,0.13999779,0.001674337,1,
20140827,MW1007-100,A5,9,Acetaminophen,1,uM,ON_20140827_MW1007-100_09_00_001.h5,2.119730136,4.665,0.042415586,64.5705625,0.706125,17.3774375,16,16,390,10.92307692,0.099016672,30.45472415,2.277377892,0.058085977,23.83589744,0.268216873,0.011291109,1,
20140827,MW1007-100,A6,12,Acetaminophen,3,uM,ON_20140827_MW1007-100_12_00_001.h5,2.307292692,7.04625,0.027557114,72.5604,0.364066667,10.6496,16,15,256,11.38671875,0.138640442,26.86832205,3.46627451,0.058506212,34.87109375,0.285753655,0.014167291,1,
20140827,MW1007-100,A6,5,Acetaminophen,3,uM,ON_20140827_MW1007-100_05_00_001.h5,0.598889102,0.591428571,0.093285414,27.6455,0.668,31.5165,7,2,16,8,0.080073165,5.514798887,55.44333333,0.015782864,13.625,0.038228975,7.75E-05,1,
20140827,MW1007-100,A6,7,Acetaminophen,3,uM,ON_20140827_MW1007-100_07_00_001.h5,0.484792787,1.215,0.046414931,61.41784615,0.549076923,47.53376923,16,13,15,13.33333333,0.222365079,7.219596046,57.83571429,0.066078605,33.6,0.117386176,0.001216864,1,
20140827,MW1007-100,A6,9,Acetaminophen,3,uM,ON_20140827_MW1007-100_09_00_001.h5,1.471783272,3.852,0.038203044,70.78814286,0.565214286,19.82928571,15,14,132,9.340909091,0.131921146,16.68593836,6.694274809,0.06935039,25.14393939,0.22740966,0.006796452,1,
20140827,MW1007-100,A7,12,Acetaminophen,10,uM,ON_20140827_MW1007-100_12_00_001.h5,1.623403499,4.91625,0.015469274,68.4441875,0.1988125,15.3996875,16,16,241,12.79253112,0.110116292,43.90212602,3.641666667,0.056645848,42.58506224,0.426525476,0.017320614,1,
20140827,MW1007-100,A7,5,Acetaminophen,10,uM,ON_20140827_MW1007-100_05_00_001.h5,0.151666721,0.09,NA,0,NA,NA,2,0,0,NA,NA,0,NA,NA,NA,0.037826746,0,1,
20140827,MW1007-100,A7,7,Acetaminophen,10,uM,ON_20140827_MW1007-100_07_00_001.h5,0.663557089,1.29,0.063342221,36.757875,0.48625,47.0325,10,8,9,8.555555556,0.196356922,1.761252446,104.4875,0.030223938,12,0.034530197,0.000213711,1,
20140827,MW1007-100,A7,9,Acetaminophen,10,uM,ON_20140827_MW1007-100_09_00_001.h5,1.140004256,3.19875,0.045320009,57.29578571,0.465428571,20.54521429,16,14,261,8.62835249,0.099588285,28.26510721,3.419615385,0.051790165,17.77777778,0.16880055,0.005225067,1,
20140827,MW1007-100,A8,12,Acetaminophen,30,uM,ON_20140827_MW1007-100_12_00_001.h5,1.688750751,4.4625,0.020827446,65.8939375,0.2935625,21.4146875,16,16,256,10.43359375,0.110062721,32.91389094,3.472352941,0.060626925,31.265625,0.32551203,0.013220082,1,
20140827,MW1007-100,A8,5,Acetaminophen,30,uM,ON_20140827_MW1007-100_05_00_001.h5,1.109444839,0.495,0.114083879,5.651,0.649,30.53,4,1,0,NA,NA,0,NA,NA,NA,0.000315822,0,1,
