"","DOP","date","Chemical","Dosage","Group_ID","Endpoint","value"
"5178","8","3/28/2024","Dieldrin","3","1_T002516_3","longestDistFromInitSite_mean_neuron",126.6
"5179","13","4/2/2024","Dieldrin","10","1_T002516_4","longestDistFromInitSite_mean_neuron",105
"5180","15","4/4/2024","Dieldrin","10","1_T002516_4","longestDistFromInitSite_mean_neuron",136.075
"5181","20","4/9/2024","Dieldrin","10","1_T002516_4","longestDistFromInitSite_mean_neuron",228.355555555556
"5182","27","4/16/2024","Dieldrin","10","1_T002516_4","longestDistFromInitSite_mean_neuron",147.52
"5183","29","4/18/2024","Dieldrin","10","1_T002516_4","longestDistFromInitSite_mean_neuron",317.72
"5184","6","3/26/2024","Dieldrin","10","1_T002516_4","longestDistFromInitSite_mean_neuron",161.3
"5185","8","3/28/2024","Dieldrin","10","1_T002516_4","longestDistFromInitSite_mean_neuron",112.1
"5186","13","4/2/2024","Deltamethrin","1","1_T002516_7","longestDistFromInitSite_mean_neuron",78.3
"5187","15","4/4/2024","Deltamethrin","1","1_T002516_7","longestDistFromInitSite_mean_neuron",125.55
"5188","20","4/9/2024","Deltamethrin","1","1_T002516_7","longestDistFromInitSite_mean_neuron",328.133333333333
"5189","22","4/11/2024","Deltamethrin","1","1_T002516_7","longestDistFromInitSite_mean_neuron",285.17
"5190","27","4/16/2024","Deltamethrin","1","1_T002516_7","longestDistFromInitSite_mean_neuron",541.163157894737
"5191","29","4/18/2024","Deltamethrin","1","1_T002516_7","longestDistFromInitSite_mean_neuron",623.955555555556
"5192","6","3/26/2024","Deltamethrin","1","1_T002516_7","longestDistFromInitSite_mean_neuron",126.2
"5193","8","3/28/2024","Deltamethrin","1","1_T002516_7","longestDistFromInitSite_mean_neuron",NA
"5194","15","4/4/2024","Deltamethrin","Control","1_T002516_8","longestDistFromInitSite_mean_neuron",628.85
"5195","20","4/9/2024","Deltamethrin","Control","1_T002516_8","longestDistFromInitSite_mean_neuron",145.6
